Epic,User Story Title,Story,Acceptance Criteria,Value,Estimate (Story Points),Sprint
Agent Tools,Agent Flight Search & Booking Assistance,"As a Passenger Service Agent, I want to search flights for customers and assist with booking processes such that I can provide personalized service and support complex booking requirements.","1) Agent UI to search and hold/book flights on behalf of customers; 2) Ability to add notes and special requests; 3) Permissions restrict agent actions to allowed functions.",High,5,Sprint 3
Agent Tools,Manage Seat Assignments & Special Requests,"As a Passenger Service Agent, I want to manage seat assignments and handle special seating requests such that I can accommodate customer preferences and special needs.","1) Agents can view and modify seat assignments; 2) Special requests recorded on booking; 3) Seat changes validated against aircraft map.",Medium,3,Sprint 3
Agent Tools,Process Payments for Customers,"As a Passenger Service Agent, I want to process payments such that I can complete sales transactions and assist with booking changes.","1) Agent payment workflow available with same security constraints; 2) Receipts and payment records stored; 3) Refunds and adjustments supported.",High,5,Sprint 4
Agent Tools,Access & Modify Customer Bookings,"As a Passenger Service Agent, I want to access customer booking information and handle ticket modifications such that I can provide support and resolve booking-related issues.","1) Agents can lookup bookings and perform allowed modifications; 2) Authorization and audit logging for agent actions; 3) Notifications sent to customer on changes.",High,5,Sprint 3
Agent Tools,Agent Real-time Chat with Customers,"As a Passenger Service Agent, I want to engage in real-time chat with customers such that I can provide immediate assistance and resolve issues quickly.","1) Agents see assigned chats and can message customers; 2) Chat transcripts saved to booking; 3) Transfer/escalate options present.",High,5,Sprint 3
Agent Tools,Escalate Complex Issues,"As a Passenger Service Agent, I want to escalate complex issues to specialized departments such that I can ensure customers receive appropriate expert assistance.","1) Agent can tag/transfer chat or create escalation ticket; 2) Escalation notifies appropriate team; 3) Status tracked until resolution.",Medium,3,Sprint 4
Policies,Access Terms & Privacy,"As a Passenger Service Agent, I want to access terms and privacy such that I can provide accurate business policies information to customers.","1) Terms/privacy pages available and searchable; 2) Agents can reference or link to policy versions; 3) Latest effective version highlighted.",Low,2,Sprint 5
Operations Admin,Aircraft DB & Maintenance,"As a Operations Administrator, I want to manage the aircrafts database including specifications and maintenance schedules such that I can ensure operational readiness and safety compliance.","1) CRUD for aircraft records and maintenance schedules; 2) Maintenance windows prevent schedule assignments; 3) Reports on aircraft availability.",High,5,Sprint 4
Operations Admin,Airports DB Management,"As a Operations Administrator, I want to manage the airports database with operational details such that I can support accurate flight planning and operations.","1) CRUD for airports with codes, timezones, slots; 2) Validation for missing operational data; 3) Airport-level constraints used during scheduling.",Medium,3,Sprint 4
Operations Admin,Ticket Classes & Pricing,"As a Operations Administrator, I want to manage ticket classes and pricing structures such that I can optimize revenue management and service offerings.","1) Define classes (Economy, Business, etc.) and fare rules; 2) Price calendars and overrides supported; 3) Pricing reflected in search and booking.",High,5,Sprint 4
Operations Admin,System Parameters & Business Rules,"As a Operations Administrator, I want to set system parameters and business rules such that I can ensure operations comply with regulations and company policies.","1) Admin UI for global parameters (cancellation policy, fees); 2) Rules applied during booking/changes; 3) Changes audited.",High,3,Sprint 5
Accounting,Financial Reports & Analytics,"As an Accounting Employee, I want to access financial reports and revenue analytics such that I can monitor business performance and support financial planning.","1) Pre-built revenue and bookings reports; 2) Exportable CSV/PDF; 3) Date-range and grouping filters.",High,5,Sprint 5
Accounting,Track Revenues & Refunds,"As an Accounting Employee, I want to track booking revenues and refund process such that I can maintain accurate financial records and cash flow management.","1) Transaction ledger for bookings/payments/refunds; 2) Reconciliation views; 3) Refund workflow with approvals logged.",High,5,Sprint 5
Accounting,Generate Forecast,"As an Accounting Employee, I want to GENERATE FORECAST.","1) Basic forecasting tool using historical bookings; 2) Exportable results; 3) Adjustable parameters (seasonality, growth).",Medium,8,Sprint 5
System Admin,Full System Access & Config,"As a System Administrator, I want to have complete access to all system functions and configurations such that I can ensure system integrity and optimal performance.","1) Admin role with access to all management screens; 2) Role-based access control tests passed; 3) Sensitive actions require MFA/confirmation.",High,8,Sprint 5
System Admin,Manage User Accounts & Roles,"As a System Administrator, I want to manage user accounts (including employee and customer accounts) across all roles such that I can maintain security and organizational access control.","1) CRUD for users and role assignments; 2) Password reset and account locking; 3) Admin audit logs.",High,5,Sprint 5
System Admin,Track Employee Access & Usage,"As a System Administrator, I want to track employee access and system usage such that I can ensure compliance with security policies and identify training needs.","1) Access logs and usage dashboards; 2) Filters by user/period; 3) Exportable audit evidence.",Medium,3,Sprint 5
System Admin,System Analytics & Performance Metrics,"As a System Administrator, I want to access comprehensive system analytics and performance metrics such that I can monitor system health and plan for capacity needs.","1) Metrics for response times, error rates, active sessions; 2) Alerting thresholds; 3) Historical trends.",Medium,5,Sprint 5
System User,Role-Based Authentication,"As a System User, I want to have secure authentication with role-based access such that I can access appropriate features while maintaining system security.","1) Login with secure password storage; 2) Roles restrict UI and API access; 3) Session management and logout.",High,5,Sprint 1
UI/UX,Responsive Interface Desktop & Mobile,"As a System User, I want to use a responsive interface that works on desktop and mobile devices such that I can access the system from various devices and locations.","1) Key flows responsive on common breakpoints; 2) Navigation and forms usable on mobile; 3) Cross-browser compatibility checks.",High,5,Sprint 1
System User,Real-time Updates & Notifications,"As a System User, I want to receive real-time updates and notifications such that I can stay informed about relevant changes and communications.","1) Push/real-time notifications for booking changes and chat; 2) Notification center in UI; 3) Users can opt-in/out.",Medium,5,Sprint 3
System User,Performance & Fast Loading,"As a System User, I want to have reliable system performance with fast loading times such that I can complete my tasks efficiently without delays.","1) Page load targets defined (<3s for key pages); 2) Caching and pagination used where applicable; 3) Performance monitored.",High,5,Sprint 2
Localization,Vietnamese Language Support,"As a System User, I want to have Vietnamese language support such that I can use the system in my preferred language with clear understanding.","1) UI supports Vietnamese translations for key flows; 2) Language toggle in settings; 3) Translations complete for core pages.",Medium,5,Sprint 3
